Tree,Source,Row,Column,Species,Population,State,Country,Longitude,Latitude,Elevation
MN1_1,NA,NA,NA,BS,Jacobs_lake,Minnesota,USA,-92.116352,47.000536,420
MN1_2,NA,NA,NA,BS,Jacobs_lake,Minnesota,USA,-92.116352,47.000536,420
MN1_3,NA,NA,NA,BS,Jacobs_lake,Minnesota,USA,-92.116352,47.000536,420
MN1_5,NA,NA,NA,BS,Jacobs_lake,Minnesota,USA,-92.116352,47.000536,420
MN2_1,NA,NA,NA,BS,Jacobs_lake,Minnesota,USA,-92.118444,47.000598,420
MN2_2,NA,NA,NA,BS,Jacobs_lake,Minnesota,USA,-92.118444,47.000598,420
MN2_3,NA,NA,NA,BS,Jacobs_lake,Minnesota,USA,-92.118444,47.000598,420
MN2_4,NA,NA,NA,BS,Jacobs_lake,Minnesota,USA,-92.118444,47.000598,420
MN2_5,NA,NA,NA,BS,Jacobs_lake,Minnesota,USA,-92.118444,47.000598,420
WISC_1,NA,NA,NA,BS,Spruce_lake_bog,Wisconsin,USA,-88.19751749,43.66775274,320
WISC_2,NA,NA,NA,BS,Spruce_lake_bog,Wisconsin,USA,-88.19751749,43.66775274,320
WISC_4,NA,NA,NA,BS,Spruce_lake_bog,Wisconsin,USA,-88.19751749,43.66775274,320
WISC_5,NA,NA,NA,BS,Spruce_lake_bog,Wisconsin,USA,-88.19751749,43.66775274,320
WISC_6,NA,NA,NA,BS,Spruce_lake_bog,Wisconsin,USA,-88.19751749,43.66775274,320
WISC_7,NA,NA,NA,BS,Spruce_lake_bog,Wisconsin,USA,-88.19751749,43.66775274,320
WISC_8,NA,NA,NA,BS,Spruce_lake_bog,Wisconsin,USA,-88.19751749,43.66775274,320
WISC_9,NA,NA,NA,BS,Spruce_lake_bog,Wisconsin,USA,-88.19751749,43.66775274,320
WISC_10,NA,NA,NA,BS,Spruce_lake_bog,Wisconsin,USA,-88.19751749,43.66775274,320